0,0.0571364,2.45037
1,48.7843,10.5742
2,27.5277,7.93534
3,28.0147,8.78692
4,19.3357,5.93303
5,62.7148,10.5521
6,47.0812,7.87743
7,23.8339,3.76454
8,95.6163,8.72636
9,43.8927,19.2609
10,24.3571,5.93145
11,11.2584,3.9343
12,10.0336,5.01203
13,0.132862,2.51871
14,19.2772,5.91926
15,57.9586,108.509
16,85.1805,8.07319
17,21.1537,8.09182
18,0.197162,2.56059
19,29.9246,6.23021
20,33.0367,109.149
21,23.7008,8.62658
22,37.1066,6.85653
23,25.2426,4.7726
24,53.8176,9.01707
25,0.366524,3.82578
26,30.6373,5.91061
27,18.8777,5.78811
28,23.4169,5.37894
29,24.9269,644.67
30,20.8894,7.05693
31,25.5924,8.2915
32,6.02721,2.2653
33,19.3718,4.81474
34,19.7111,340.23
35,30.3852,342.769
36,12.1608,5.22382
37,4.33045,6.81921
38,5.85453,2.4579
39,6.19415,2.4077
